x,y,z,collapse_count,last_collapsed_at
0,15,27,3,51.31065208546716
0,15,28,2,32.0
0,15,29,2,9.338995644264172
0,15,30,1,100.0
0,15,31,2,18.2857525730283
0,15,32,4,38.22799793799404
0,15,33,0,
0,15,34,1,48.515313124539844
0,15,35,1,33.0
0,15,36,2,64.0
0,15,37,2,56.90188089356399
0,15,38,4,43.18289665042233
0,15,39,1,46.59688668454412
0,15,40,4,49.18918308724224
0,15,41,2,36.839457545157444
0,15,42,1,3.0
0,15,43,2,19.0
0,15,44,1,62.08459226959758
0,15,45,0,
0,15,46,1,31.0
0,15,47,0,
0,15,48,2,59.96475853101716
0,15,49,1,28.451957568141133
0,16,0,1,12.096839325587453
0,16,1,1,40.96719892427037
0,16,2,1,37.0
0,16,3,2,51.57517020220221
0,16,4,1,60.0
0,16,5,1,61.0
0,16,6,0,
0,16,7,0,
0,16,8,2,86.0
0,16,9,3,58.44120071206088
0,16,10,1,56.24729162908632
0,16,11,3,59.33627976815547
0,16,12,0,
0,16,13,3,21.68929547001197
0,16,14,0,
0,16,15,3,90.0
0,16,16,0,
0,16,17,1,25.233363170469314
0,16,18,2,56.267009615387245
0,16,19,1,13.0
0,16,20,1,75.0
0,16,21,2,39.281442923476625
0,16,22,0,
0,16,23,1,28.373312429976508
0,16,24,2,27.29973622665047
0,16,25,1,15.112067432991527
0,16,26,1,6.440026873179704
0,16,27,2,66.70955628554259
0,16,28,4,92.0
0,16,29,1,90.0
0,16,30,1,34.93907034980777
0,16,31,2,68.0
0,16,32,1,46.6650819947913
0,16,33,3,66.0
0,16,34,3,49.8591311408645
0,16,35,2,50.175623341102686
0,16,36,0,
0,16,37,1,98.0
0,16,38,1,29.0
0,16,39,2,38.902264752016116
0,16,40,1,2.3881216785635977
0,16,41,2,63.93505324260743
0,16,42,5,51.0205187580678
0,16,43,1,60.95097601442926
0,16,44,2,100.0
0,16,45,2,79.0
0,16,46,1,14.334030380146688
0,16,47,3,68.50575835178884
0,16,48,4,90.0
0,16,49,1,14.267286324613389
0,17,0,1,37.0
0,17,1,0,
0,17,2,4,97.0
0,17,3,0,
0,17,4,2,52.163239463381075
0,17,5,1,16.0
0,17,6,2,21.0
0,17,7,3,41.0
0,17,8,0,
0,17,9,2,56.0
0,17,10,3,59.84384189701479
0,17,11,1,17.74321681189511
0,17,12,0,
0,17,13,1,27.314480939201943
0,17,14,3,78.0
0,17,15,2,75.0
0,17,16,2,57.84170449571072
0,17,17,0,
0,17,18,0,
0,17,19,2,75.15183110239502
0,17,20,3,90.0
0,17,21,2,38.79404751946863
0,17,22,4,91.0
0,17,23,5,69.0
0,17,24,1,76.33701005483609
0,17,25,5,90.0
0,17,26,4,90.0
0,17,27,3,63.96629255194488
0,17,28,3,76.0
0,17,29,3,69.25905552288877
0,17,30,3,48.27568014165651
0,17,31,0,
0,17,32,1,18.753966973760953
0,17,33,3,69.37183235380441
0,17,34,1,36.65693315847101
0,17,35,2,65.35925754733933
0,17,36,1,23.52062853299382
0,17,37,0,
0,17,38,2,76.0
0,17,39,1,85.0
0,17,40,1,30.415916251118695
0,17,41,3,53.0
0,17,42,1,7.0
0,17,43,4,92.0
0,17,44,3,39.05748421607694
0,17,45,3,51.14324245333995
0,17,46,8,81.0
0,17,47,3,54.77776988265192
0,17,48,2,29.424331265689048
0,17,49,2,84.90856945266675
0,18,0,1,64.2665936783028
0,18,1,1,0.7983868442961758
0,18,2,0,
0,18,3,0,
0,18,4,5,69.06401439488846
0,18,5,1,28.582088852968788
0,18,6,1,71.46511764740495
0,18,7,3,39.6477579198384
0,18,8,1,12.620540737856647
0,18,9,2,92.0
0,18,10,2,68.61387232535668
0,18,11,1,87.0
0,18,12,1,3.0
0,18,13,1,33.0
0,18,14,3,34.9576150525097
0,18,15,2,88.0
0,18,16,1,20.0
0,18,17,1,48.534888777490536
0,18,18,0,
0,18,19,2,51.4479829126665
0,18,20,3,64.87888339538745
0,18,21,5,51.24066768597172
0,18,22,1,1.8046067724468629
0,18,23,4,98.0
0,18,24,2,59.240376774657186
0,18,25,1,19.0
0,18,26,0,
0,18,27,0,
0,18,28,1,69.0
0,18,29,2,98.0
0,18,30,1,34.0
0,18,31,2,23.81312183335323
0,18,32,2,36.0
0,18,33,1,63.049633455074506
0,18,34,1,84.18343966933645
0,18,35,2,75.48453057460529
0,18,36,0,
0,18,37,0,
0,18,38,4,63.0
0,18,39,2,80.97160267987915
0,18,40,4,85.0
0,18,41,1,31.741720750693812
0,18,42,5,52.07853088747704
0,18,43,2,55.49238396214368
0,18,44,1,57.005969443646364
0,18,45,1,30.873143795355865
0,18,46,6,67.89006344644886
0,18,47,0,
0,18,48,0,
0,18,49,3,73.71086238980556
0,19,0,2,84.38910662299163
0,19,1,5,60.41635528959267
0,19,2,3,75.0
0,19,3,1,13.0
0,19,4,2,52.306242177382906
0,19,5,2,54.658867520592324
0,19,6,2,78.25285205769414
0,19,7,3,52.0
0,19,8,3,17.37040858915667
0,19,9,0,
0,19,10,2,60.5421353833375
0,19,11,1,46.96373240144146
0,19,12,0,
0,19,13,2,78.0
0,19,14,1,49.50827411884425
0,19,15,2,55.11908117240173
0,19,16,0,
0,19,17,2,39.51910854677522
0,19,18,0,
0,19,19,2,80.05086142743285
0,19,20,1,50.95183211031226
0,19,21,1,63.45862650293787
0,19,22,3,44.0
0,19,23,0,
0,19,24,2,70.0
0,19,25,2,70.53035278916971
0,19,26,1,34.0
0,19,27,3,46.640512659439686
0,19,28,4,56.36836703022087
0,19,29,4,100.0
0,19,30,1,65.0
0,19,31,1,9.144367422993595
0,19,32,2,57.300503041535514
0,19,33,2,65.17545331182352
0,19,34,1,18.694414037551326
0,19,35,1,9.017638442828769
0,19,36,3,14.207034086786859
0,19,37,4,70.9913472875121
0,19,38,4,59.62975804970837
0,19,39,3,45.307427795752815
0,19,40,4,60.621676238132856
0,19,41,3,100.0
0,19,42,3,100.0
0,19,43,2,32.399874893005126
0,19,44,2,78.75251785075379
0,19,45,1,15.055151450973007
0,19,46,1,26.92568700321132
0,19,47,4,80.076955301001
0,19,48,3,44.96967025458555
0,19,49,2,83.0
0,20,0,1,76.0
0,20,1,4,87.0
0,20,2,3,65.35803150258305
0,20,3,1,67.0
0,20,4,4,66.86936025679987
0,20,5,2,64.90986708596161
0,20,6,2,96.0
0,20,7,5,62.5070705070496
0,20,8,0,
0,20,9,3,84.0
